Below are data for ortho-tolunitrile in purely electrostatic and CN-HB-conditions with water and MeOH.
Electric fields and HB geometry are reported together with vibrational frequencies and TDMs of the CN.
See 10.26434/chemrxiv-2024-rjm5p for further details

EF_x	EF_y	EF_z	env	HB_angle	HB_distance	v
-57.7227	-0.3331	-47.8958	H2O	130.00	2.75	2242.81
-59.8658	5.2873	-41.7445	H2O	120.00	2.75	2240.51
-57.7776	12.3599	-38.9867	H2O	110.00	2.75	2236.78
-51.3043	21.3287	-37.9833	H2O	100.00	2.75	2232.48
-43.0754	26.8455	-37.4065	H2O	90.00	2.75	2228.89
-32.1510	25.9511	-37.3017	H2O	80.00	2.75	2227.80
-20.6805	15.6129	-37.3590	H2O	70.00	2.75	2229.46
-39.0807	1.6918	-69.6330	H2O	170.00	2.75	2247.93
-39.1346	7.6051	-68.4635	H2O	160.00	2.75	2247.12
-38.4233	13.2350	-66.6014	H2O	150.00	2.75	2245.48
-37.0587	18.5516	-64.0803	H2O	140.00	2.75	2243.16
-35.2685	23.3991	-60.9032	H2O	130.00	2.75	2240.35
-33.0447	27.1925	-57.1899	H2O	120.00	2.75	2237.55
-30.5560	29.7279	-53.0559	H2O	110.00	2.75	2235.04
-27.7040	30.6038	-48.8200	H2O	100.00	2.75	2233.10
-24.5629	28.7614	-44.5729	H2O	90.00	2.75	2231.90
-18.2288	11.2600	-36.9854	H2O	70.00	2.75	2232.88
-36.9845	8.6454	-69.7655	H2O	170.00	2.75	2247.11
-30.3489	8.9126	-71.0132	H2O	150.00	2.75	2245.70
-25.8811	12.9091	-70.2541	H2O	140.00	2.75	2243.52
-21.2746	16.4071	-68.6208	H2O	130.00	2.75	2241.01
-16.7597	19.1032	-66.0780	H2O	120.00	2.75	2238.57
-12.5652	20.7292	-62.6514	H2O	110.00	2.75	2236.55
-8.7906	20.9878	-58.6032	H2O	100.00	2.75	2234.96
-4.7789	20.0632	-55.1519	H2O	90.00	2.75	2231.47
-8.7646	17.4383	-48.6988	H2O	80.00	2.75	2229.94
-16.8771	9.2192	-38.6940	H2O	70.00	2.75	2229.36
-37.7903	-3.0802	-69.9332	H2O	170.00	2.75	2248.01
-33.4799	-0.0051	-71.2182	H2O	160.00	2.75	2247.72
-27.6992	-0.0133	-72.2124	H2O	150.00	2.75	2246.36
-21.5670	0.0086	-72.3766	H2O	140.00	2.75	2244.40
-15.3980	0.0023	-71.5702	H2O	130.00	2.75	2242.18
-9.2391	0.0081	-69.8309	H2O	120.00	2.75	2240.03
-3.2293	-0.0027	-67.1661	H2O	110.00	2.75	2238.40
2.8135	0.0132	-63.8995	H2O	100.00	2.75	2237.12
4.8204	0.0065	-61.1184	H2O	90.00	2.75	2233.89
-38.1147	0.0864	-48.2718	H2O	160.00	3.00	2243.20
-41.7145	0.0386	-44.0753	H2O	150.00	3.00	2242.16
-44.9008	-0.1348	-39.2616	H2O	140.00	3.00	2240.68
-47.8306	-0.0922	-33.9733	H2O	130.00	3.00	2238.85
-50.1989	-0.2956	-28.7993	H2O	120.00	3.00	2236.80
-49.3829	9.2051	-26.1383	H2O	110.00	3.00	2234.21
-44.7187	18.2261	-26.1289	H2O	100.00	3.00	2229.61
-37.9493	25.8271	-26.3614	H2O	90.00	3.00	2226.49
-30.1255	28.6553	-27.1894	H2O	80.00	3.00	2224.48
-20.5093	24.0962	-28.8811	H2O	70.00	3.00	2224.97
-30.5993	3.7757	-53.4188	H2O	170.00	3.00	2243.31
-30.2639	9.0708	-52.4494	H2O	160.00	3.00	2242.46
-29.3674	14.1817	-50.7653	H2O	150.00	3.00	2240.96
-26.4081	23.4088	-45.7398	H2O	130.00	3.00	2236.53
-24.5806	27.3071	-42.7782	H2O	120.00	3.00	2233.93
-22.6606	30.5298	-39.8089	H2O	110.00	3.00	2231.40
-20.7204	32.5930	-37.0393	H2O	100.00	3.00	2229.34
-18.7015	32.9297	-34.6627	H2O	90.00	3.00	2228.00
-16.6795	30.3357	-32.6909	H2O	80.00	3.00	2227.31
-14.3661	21.6168	-30.9297	H2O	70.00	3.00	2228.23
-27.3746	5.6419	-54.1479	H2O	170.00	3.00	2242.98
-24.6850	6.1916	-55.4746	H2O	160.00	3.00	2242.47
-20.8826	9.9934	-55.5214	H2O	150.00	3.00	2241.10
-16.7816	13.5705	-54.8748	H2O	140.00	3.00	2239.18
-12.5598	16.8392	-53.6746	H2O	130.00	3.00	2236.92
-8.4568	19.6700	-52.0596	H2O	120.00	3.00	2234.57
-4.7741	21.8004	-50.1088	H2O	110.00	3.00	2232.46
-1.8300	22.8981	-47.8487	H2O	100.00	3.00	2230.85
0.7130	22.4321	-45.7086	H2O	90.00	3.00	2228.51
-0.9837	21.6316	-43.0913	H2O	80.00	3.00	2225.59
-6.9902	17.0455	-37.2195	H2O	70.00	3.00	2224.64
-26.8332	1.5232	-55.0562	H2O	170.00	3.00	2243.21
-22.9368	-0.0239	-56.5915	H2O	160.00	3.00	2242.96
-17.7195	-0.0099	-57.4718	H2O	150.00	3.00	2241.72
-12.2859	0.0061	-57.6160	H2O	140.00	3.00	2239.99
-6.8409	0.0063	-57.1299	H2O	130.00	3.00	2237.98
-1.4724	0.0049	-56.1540	H2O	120.00	3.00	2235.91
7.9610	0.2599	-52.5331	H2O	100.00	3.00	2233.26
10.5161	0.6395	-50.8416	H2O	90.00	3.00	2230.99
-9.8614	0.0338	-30.5934	H2O	70.00	3.00	2215.41
-28.5873	0.1279	-35.1277	H2O	160.00	3.25	2240.10
-31.3669	-0.0434	-32.0345	H2O	150.00	3.25	2239.24
-38.1800	-0.0392	-20.7381	H2O	120.00	3.25	2235.23
-38.3277	5.8209	-18.4367	H2O	110.00	3.25	2233.49
-35.3773	12.8001	-18.6174	H2O	100.00	3.25	2229.74
-30.4088	20.1548	-18.9849	H2O	90.00	3.25	2226.09
-25.1632	25.4021	-19.7997	H2O	80.00	3.25	2223.75
-18.5827	25.2674	-21.3913	H2O	70.00	3.25	2222.81
-22.4037	3.3262	-39.0975	H2O	170.00	3.25	2240.24
-22.1308	7.4680	-38.4431	H2O	160.00	3.25	2239.50
-21.4474	11.4653	-37.2426	H2O	150.00	3.25	2238.29
-20.4670	15.2201	-35.5768	H2O	140.00	3.25	2236.71
-19.2383	18.7915	-33.5729	H2O	130.00	3.25	2234.83
-17.8566	22.1931	-31.3809	H2O	120.00	3.25	2232.77
-16.4001	25.4486	-29.1785	H2O	110.00	3.25	2230.62
-14.9516	28.2221	-27.2143	H2O	100.00	3.25	2228.57
-12.0882	-29.8356	-24.8774	H2O	80.00	3.25	2225.71
-30.7719	-13.6238	-27.3521	H2O	130.00	3.25	2235.79
-31.5554	-16.2000	-24.0661	H2O	120.00	3.25	2234.16
-31.9584	-17.7996	-20.8439	H2O	110.00	3.25	2232.74
-30.9449	-19.7375	-19.1634	H2O	100.00	3.25	2230.91
-29.4596	-21.1704	-19.1019	H2O	90.00	3.25	2226.60
-25.4218	-0.0334	-37.6702	H2O	170.00	3.25	2240.52
-28.5963	-0.0053	-35.1196	H2O	160.00	3.25	2240.09
-31.3657	0.0093	-32.0344	H2O	150.00	3.25	2239.24
-33.8234	-0.0091	-28.4983	H2O	140.00	3.25	2238.10
-36.0901	-0.0137	-24.6308	H2O	130.00	3.25	2236.73
-38.1723	0.0563	-20.7391	H2O	120.00	3.25	2235.23
-39.7611	-0.0152	-17.8671	H2O	110.00	3.25	2232.95
-18.6764	0.7301	-27.7777	H2O	170.00	3.50	2238.50
-21.2406	-0.2406	-25.9726	H2O	160.00	3.50	2238.19
-23.3874	0.0260	-23.7848	H2O	150.00	3.50	2237.50
-25.3044	0.0708	-21.2802	H2O	140.00	3.50	2236.57
-27.0549	0.0377	-18.5601	H2O	130.00	3.50	2235.55
-28.7268	0.0577	-15.7764	H2O	120.00	3.50	2234.41
-29.5012	-3.0291	-13.8469	H2O	110.00	3.50	2233.11
-27.3656	-8.3171	-14.2488	H2O	100.00	3.50	2230.47
-23.8202	-14.7208	-14.5377	H2O	90.00	3.50	2227.10
-19.2031	-19.6940	-14.7427	H2O	80.00	3.50	2224.62
-13.3266	-21.6928	-15.4427	H2O	70.00	3.50	2223.28
-16.4629	-2.5513	-28.8789	H2O	170.00	3.50	2238.36
-16.2840	-5.7405	-28.4615	H2O	160.00	3.50	2237.74
-14.2064	-14.5812	-25.1547	H2O	130.00	3.50	2233.95
-12.1986	-20.0548	-21.8995	H2O	110.00	3.50	2230.57
